user_id,name,email,phone
1,Darcey Friedman,DarceyFriedman@123.com, 12341325
2,Micheal Ali,MichealAli@123.com, 124523532
3,Emma Ferrell,EmmaFerrell@123.com, 4335421235
4,Mariyah Villa,MariyahVilla@123.com, 23456132
5,Mya Gibson,MyaGibson@123.com, 234578235
6,Aadam Page,AadamPage@123.com, 234718878
7,Fintan Holt,FintanHolt@123.com, 134879610
8,Colin Cooke,ColinCooke@123.com, 134778587
9,Max Hines,MaxHines@123.com, 1457785686
10,Conner Cantu,ConnerCantu@123.com, 143765826
11,The Harlequin Taste,TheHarlequinTaste@restaurant.com,21423512316
12,The Chili Shark,TheChiliShark@restaurant.com,5467823415
13,The Rare Devil,TheRareDevil@restaurant.com,234567898
14,The Dairy Tulip,TheDairyTulip@restaurant.com,8971234567
15,The Sweet Fox,TheSweetFox@restaurant.com,231566346
16,Whisperwind,Whisperwind@restaurant.com,5677612134
17,Solo Mio,SoloMio@restaurant.com,34113441357
18,The Cane,TheCane@restaurant.com,3567356476
19,Interlude,Interlude@restaurant.com,756334645
20,Ivy,Ivy@restaurant.com,91234812357
